consumption_id,customer_id,consumption_date,compute_units_used,storage_gb_used,query_count
CONS-0001-0000,CUST-0001,2026-04-08,42488,490714,976774
CONS-0001-0001,CUST-0001,2026-02-13,27337,469357,959840
CONS-0001-0002,CUST-0001,2026-04-14,50446,123131,112229
CONS-0001-0003,CUST-0001,2026-04-07,35392,484760,298825
CONS-0001-0004,CUST-0001,2026-03-20,26026,260767,593878
CONS-0001-0005,CUST-0001,2026-04-07,58840,486225,381670
CONS-0001-0006,CUST-0001,2026-02-18,56044,438355,131356
CONS-0001-0007,CUST-0001,2026-02-17,16390,71834,392362
CONS-0001-0008,CUST-0001,2026-02-17,66079,309729,818861
CONS-0001-0009,CUST-0001,2026-04-27,14541,99261,940592
CONS-0001-0010,CUST-0001,2026-03-22,48225,101931,874042
CONS-0001-0011,CUST-0001,2026-05-10,32792,464382,189841
CONS-0001-0012,CUST-0001,2026-03-05,22031,372049,250406
CONS-0001-0013,CUST-0001,2026-03-08,23565,170951,499678
CONS-0001-0014,CUST-0001,2026-03-14,29612,357671,952535
CONS-0001-0015,CUST-0001,2026-02-14,49125,484445,342284
CONS-0001-0016,CUST-0001,2026-02-15,48814,399827,279395
CONS-0001-0017,CUST-0001,2026-03-15,14010,264819,970574
CONS-0001-0018,CUST-0001,2026-02-14,30164,66245,999835
CONS-0001-0019,CUST-0001,2026-03-31,50009,241579,200690
CONS-0001-0020,CUST-0001,2026-03-04,26392,130770,488672
CONS-0001-0021,CUST-0001,2026-03-09,27960,213580,280874
CONS-0001-0022,CUST-0001,2026-04-02,30207,296913,530660
CONS-0001-0023,CUST-0001,2026-02-10,33814,359941,136587
CONS-0001-0024,CUST-0001,2026-03-31,44177,86279,175425
CONS-0001-0025,CUST-0001,2026-02-20,46144,75844,482599
CONS-0001-0026,CUST-0001,2026-04-15,19658,488687,961642
CONS-0001-0027,CUST-0001,2026-02-15,17716,167368,529660
CONS-0001-0028,CUST-0001,2026-04-25,63116,325985,167196
CONS-0001-0029,CUST-0001,2026-03-08,41846,328027,407631
CONS-0001-0030,CUST-0001,2026-03-08,41272,247714,180742
CONS-0001-0031,CUST-0001,2026-03-08,14552,359669,470492
CONS-0001-0032,CUST-0001,2026-04-22,41611,127423,848841
CONS-0001-0033,CUST-0001,2026-02-11,31332,387841,172019
CONS-0001-0034,CUST-0001,2026-04-14,67780,400788,987378
CONS-0001-0035,CUST-0001,2026-04-20,46643,164186,256816
CONS-0001-0036,CUST-0001,2026-02-17,49641,58753,376378
CONS-0001-0037,CUST-0001,2026-02-15,56025,280571,471146
CONS-0001-0038,CUST-0001,2026-04-24,14095,173624,895557
CONS-0001-0039,CUST-0001,2026-05-07,27239,224561,512101
CONS-0001-0040,CUST-0001,2026-04-27,33747,301001,296819
CONS-0001-0041,CUST-0001,2026-03-19,59344,228188,658765
CONS-0001-0042,CUST-0001,2026-03-18,69366,434780,995324
CONS-0001-0043,CUST-0001,2026-04-15,33016,286350,472225
