customer_id,customer_name,segment,region,industry,signup_date,employee_count,annual_revenue_m,platform_maturity,growth_profile
CUST-0001,Brown-Benson,Strategic,North America,Retail,2025-07-31,86968,2466.5,Low,Declining
CUST-0002,"Rogers, Mitchell and Williams",Mid-Market,North America,Retail,2025-05-15,361,195.3,High,Stable
CUST-0003,"Williams, Williams and Campbell",SMB,LATAM,Technology,2025-02-16,177,5.3,Low,High Growth
CUST-0004,Hill LLC,SMB,EMEA,Manufacturing,2025-06-23,50,5.4,Low,High Growth
CUST-0005,"Walker, Potts and Smith",Enterprise,EMEA,Healthcare,2024-10-07,7056,515.5,Medium,Stable
CUST-0006,"Guerra, Atkinson and Cannon",Strategic,APJ,Media,2024-11-27,66443,6153.8,Medium,High Growth
CUST-0007,Douglas PLC,SMB,EMEA,Manufacturing,2025-09-11,169,10.9,Low,High Growth
CUST-0008,"Stephens, Stuart and Murphy",Strategic,APJ,Retail,2023-11-29,23747,4358.7,Medium,Declining
CUST-0009,Ortega Ltd,Mid-Market,EMEA,Media,2025-06-27,1681,24.3,Low,Stable
CUST-0010,Briggs and Sons,SMB,North America,Media,2026-02-01,55,5.4,High,Stable
CUST-0011,Bowers-Smith,Strategic,North America,Manufacturing,2024-08-20,46274,5784.2,Low,Declining
CUST-0012,Morgan and Sons,Mid-Market,EMEA,Media,2025-08-12,517,122.0,Medium,High Growth
CUST-0013,Randolph-Smith,Mid-Market,LATAM,Healthcare,2024-06-12,931,67.5,High,Stable
CUST-0014,Boyer-King,Enterprise,North America,Healthcare,2024-09-14,6807,1098.1,Low,Stable
CUST-0015,"Conrad, Torres and Smith",SMB,EMEA,Media,2023-10-09,190,5.7,Medium,High Growth
CUST-0016,"Jones, Sanchez and Guerrero",Mid-Market,North America,Manufacturing,2024-02-06,1077,111.8,Low,High Growth
CUST-0017,Smith Inc,Mid-Market,North America,Media,2024-09-26,346,172.8,High,Stable
CUST-0018,"Nguyen, Adams and Hughes",SMB,EMEA,Media,2023-06-19,100,13.7,High,Declining
CUST-0019,Abbott-Smith,Enterprise,APJ,Media,2024-07-15,6985,1334.8,High,High Growth
CUST-0020,"Martin, Smith and Smith",SMB,APJ,AI,2025-11-21,31,8.0,Low,High Growth
CUST-0021,Aguilar-Hanson,SMB,EMEA,Healthcare,2025-12-22,68,5.2,Low,Stable
CUST-0022,"Ramsey, Peck and Vazquez",Mid-Market,APJ,Financial Services,2024-11-15,1875,155.3,Medium,Stable
CUST-0023,"Holt, Dawson and Torres",Mid-Market,LATAM,Technology,2024-01-28,400,121.8,Medium,High Growth
CUST-0024,Nunez Inc,Strategic,EMEA,Healthcare,2023-09-24,68611,4755.4,Medium,Stable
