subscription_id,customer_id,subscription_plan,base_arr,included_compute_units,renewal_date
SUB-0001,CUST-0001,Professional,20316,3285,2026-12-20
SUB-0002,CUST-0002,Professional,70239,3660,2026-09-13
SUB-0003,CUST-0003,Strategic,533359,52451,2026-11-01
SUB-0004,CUST-0004,Starter,13744,443,2027-04-08
SUB-0005,CUST-0005,Professional,29733,723,2026-10-19
SUB-0006,CUST-0006,Starter,19143,285,2027-02-04
SUB-0007,CUST-0007,Strategic,1536196,52251,2026-05-30
SUB-0008,CUST-0008,Enterprise,353122,19138,2026-06-13
SUB-0009,CUST-0009,Starter,8522,274,2027-01-28
SUB-0010,CUST-0010,Enterprise,216429,18438,2026-10-14
SUB-0011,CUST-0011,Starter,9708,457,2026-07-18
SUB-0012,CUST-0012,Professional,51766,3393,2026-10-02
SUB-0013,CUST-0013,Strategic,1251356,58423,2027-04-17
SUB-0014,CUST-0014,Starter,15189,375,2026-10-23
SUB-0015,CUST-0015,Professional,63152,615,2026-08-19
SUB-0016,CUST-0016,Enterprise,477304,18767,2026-10-20
SUB-0017,CUST-0017,Strategic,3548432,68640,2026-10-29
SUB-0018,CUST-0018,Starter,13605,323,2026-10-08
SUB-0019,CUST-0019,Starter,16733,364,2026-06-05
SUB-0020,CUST-0020,Starter,10858,498,2027-01-30
SUB-0021,CUST-0021,Strategic,4148465,38813,2026-06-09
SUB-0022,CUST-0022,Starter,5502,147,2027-04-03
SUB-0023,CUST-0023,Strategic,3853563,62666,2027-01-18
SUB-0024,CUST-0024,Starter,6894,224,2026-11-01
SUB-0025,CUST-0025,Professional,74925,4905,2026-08-06
SUB-0026,CUST-0026,Enterprise,159010,18161,2027-01-06
SUB-0027,CUST-0027,Professional,54328,3435,2026-12-03
SUB-0028,CUST-0028,Starter,6261,458,2026-06-29
SUB-0029,CUST-0029,Professional,97280,4922,2026-12-04
SUB-0030,CUST-0030,Professional,50042,732,2026-10-14
SUB-0031,CUST-0031,Strategic,3749143,95294,2026-08-28
SUB-0032,CUST-0032,Strategic,3947049,52733,2026-10-28
SUB-0033,CUST-0033,Professional,42349,2437,2027-04-27
SUB-0034,CUST-0034,Enterprise,347986,13067,2026-05-12
SUB-0035,CUST-0035,Enterprise,322311,6862,2027-02-12
SUB-0036,CUST-0036,Strategic,1322682,64764,2027-02-23
SUB-0037,CUST-0037,Strategic,4276097,33334,2026-10-16
SUB-0038,CUST-0038,Strategic,4097698,34435,2026-07-11
SUB-0039,CUST-0039,Professional,77597,1566,2026-06-23
SUB-0040,CUST-0040,Starter,15224,150,2027-02-09
SUB-0041,CUST-0041,Starter,18873,227,2026-10-14
SUB-0042,CUST-0042,Professional,35390,3040,2026-09-18
SUB-0043,CUST-0043,Enterprise,356609,10820,2026-10-02
SUB-0044,CUST-0044,Enterprise,495317,6882,2026-06-11
SUB-0045,CUST-0045,Enterprise,418834,17777,2026-06-18
SUB-0046,CUST-0046,Starter,10966,155,2026-10-10
SUB-0047,CUST-0047,Starter,18889,425,2026-09-30
SUB-0048,CUST-0048,Strategic,2261689,48506,2027-03-30
SUB-0049,CUST-0049,Professional,46694,3067,2027-02-06
SUB-0050,CUST-0050,Starter,17180,305,2027-04-21
SUB-0051,CUST-0051,Professional,59973,1868,2027-04-05
SUB-0052,CUST-0052,Enterprise,139469,9359,2026-07-30
SUB-0053,CUST-0053,Professional,38137,2157,2026-08-28
SUB-0054,CUST-0054,Starter,9244,176,2026-05-31
SUB-0055,CUST-0055,Starter,9055,311,2026-10-02
SUB-0056,CUST-0056,Starter,7591,202,2026-08-25
SUB-0057,CUST-0057,Professional,42146,2650,2026-08-31
SUB-0058,CUST-0058,Starter,18235,360,2026-10-10
SUB-0059,CUST-0059,Strategic,3192203,28274,2026-07-21
SUB-0060,CUST-0060,Professional,65880,4932,2026-06-04
SUB-0061,CUST-0061,Professional,73286,1976,2026-08-18
SUB-0062,CUST-0062,Starter,18191,157,2026-12-16
SUB-0063,CUST-0063,Strategic,2595894,21206,2027-02-13
SUB-0064,CUST-0064,Enterprise,399526,9046,2026-07-22
SUB-0065,CUST-0065,Professional,61575,3649,2027-01-11
SUB-0066,CUST-0066,Starter,8678,207,2027-01-27
SUB-0067,CUST-0067,Starter,19809,158,2026-11-21
SUB-0068,CUST-0068,Professional,72684,855,2026-11-02
SUB-0069,CUST-0069,Starter,12008,331,2026-11-05
SUB-0070,CUST-0070,Strategic,940056,45648,2026-12-17
SUB-0071,CUST-0071,Enterprise,276972,8105,2026-12-11
SUB-0072,CUST-0072,Starter,5792,224,2027-02-12
SUB-0073,CUST-0073,Enterprise,136259,14373,2026-08-13
SUB-0074,CUST-0074,Enterprise,206127,18996,2027-01-03
SUB-0075,CUST-0075,Starter,5545,481,2026-11-18
SUB-0076,CUST-0076,Starter,12391,241,2027-03-13
SUB-0077,CUST-0077,Strategic,2164049,54614,2026-06-01
SUB-0078,CUST-0078,Professional,60335,4048,2026-09-03
SUB-0079,CUST-0079,Strategic,4290512,87171,2027-02-15
SUB-0080,CUST-0080,Strategic,1464212,90270,2027-02-22
SUB-0081,CUST-0081,Enterprise,183962,15385,2026-10-30
SUB-0082,CUST-0082,Starter,9815,179,2027-02-07
SUB-0083,CUST-0083,Enterprise,252662,10136,2027-04-14
SUB-0084,CUST-0084,Strategic,1881410,60226,2026-07-17
SUB-0085,CUST-0085,Enterprise,481181,15463,2026-09-08
SUB-0086,CUST-0086,Enterprise,140375,18670,2026-07-19
SUB-0087,CUST-0087,Strategic,3660492,39868,2026-11-15
SUB-0088,CUST-0088,Starter,19155,419,2026-12-11
SUB-0089,CUST-0089,Enterprise,130612,17587,2026-06-25
SUB-0090,CUST-0090,Strategic,1230798,27118,2026-08-13
SUB-0091,CUST-0091,Professional,81895,3647,2026-10-04
SUB-0092,CUST-0092,Strategic,4575217,51005,2026-06-14
SUB-0093,CUST-0093,Starter,16970,271,2026-08-26
