event_id,customer_id,event_timestamp,event_type,product_area,active_users
EVT-0001-0000,CUST-0001,2026-02-21 06:03:37.027368,login,Analytics,290
EVT-0001-0001,CUST-0001,2026-03-23 18:51:03.248225,pipeline_execution,Data Warehousing,4
EVT-0001-0002,CUST-0001,2026-03-31 17:53:58.921763,pipeline_execution,AI Workloads,356
EVT-0001-0003,CUST-0001,2026-04-30 15:03:24.548233,pipeline_execution,Data Warehousing,49
EVT-0001-0004,CUST-0001,2026-03-01 13:23:07.895185,ai_model_run,Analytics,465
EVT-0001-0005,CUST-0001,2026-02-21 04:21:54.205229,pipeline_execution,Machine Learning,312
EVT-0001-0006,CUST-0001,2026-02-23 05:16:34.169374,data_ingestion,AI Workloads,318
EVT-0001-0007,CUST-0001,2026-02-23 19:22:54.575057,data_ingestion,Machine Learning,127
EVT-0001-0008,CUST-0001,2026-05-10 09:48:06.405104,data_ingestion,Machine Learning,335
EVT-0001-0009,CUST-0001,2026-04-21 18:51:17.334252,data_ingestion,Machine Learning,277
EVT-0001-0010,CUST-0001,2026-04-06 11:58:36.637761,data_ingestion,Machine Learning,446
EVT-0001-0011,CUST-0001,2026-03-26 19:55:58.828930,pipeline_execution,Analytics,158
EVT-0001-0012,CUST-0001,2026-05-10 05:28:39.195028,ai_model_run,Data Warehousing,194
EVT-0001-0013,CUST-0001,2026-02-20 17:14:01.641391,pipeline_execution,Data Warehousing,481
EVT-0001-0014,CUST-0001,2026-03-18 16:26:47.307859,dashboard_query,AI Workloads,282
EVT-0001-0015,CUST-0001,2026-02-15 21:42:07.582112,dashboard_query,AI Workloads,237
EVT-0001-0016,CUST-0001,2026-02-17 14:16:19.027715,data_ingestion,Data Engineering,442
EVT-0001-0017,CUST-0001,2026-04-28 00:34:37.281374,dashboard_query,AI Workloads,313
EVT-0001-0018,CUST-0001,2026-03-01 03:58:17.783908,pipeline_execution,Data Warehousing,41
EVT-0001-0019,CUST-0001,2026-04-17 15:47:39.608922,dashboard_query,AI Workloads,14
EVT-0001-0020,CUST-0001,2026-04-18 18:24:13.487373,login,Data Engineering,310
EVT-0001-0021,CUST-0001,2026-04-14 16:05:24.469398,pipeline_execution,Analytics,156
EVT-0002-0000,CUST-0002,2026-03-10 15:53:25.152512,ai_model_run,Data Warehousing,495
EVT-0002-0001,CUST-0002,2026-04-12 18:24:22.833663,dashboard_query,Data Warehousing,17
EVT-0002-0002,CUST-0002,2026-04-11 04:30:02.135543,pipeline_execution,AI Workloads,103
EVT-0002-0003,CUST-0002,2026-04-28 01:19:46.700537,data_ingestion,Data Warehousing,493
EVT-0002-0004,CUST-0002,2026-02-17 16:48:35.552395,ai_model_run,Data Warehousing,154
